#
# rotator fiducials
#
# $Name$
#
# Creator:             snedden
# Time:                2007-06-06 21:33:09Z
# Input file:          /mcptpm/54255/mcpFiducials-54255.dat
# Scales:              0.021315788986755548  0.021315774873949575
# Canonical fiducial:  75
# Arguments:           -mjd 54255 -rot -y pos1 -reset -scale -canon -time0 1180970980 -time1 1180973306 -x fididx -setCanon 75:2590827 -tablefile rot.dat
#
# Fiducial Encoder1 +- error  npoint  Encoder2 +- error  npoint
105       -21433268 +-   9.5   6     -21433187 +-   6.6   6
106       -22234064 +-   8.2   6     -22234004 +-   5.4   6
107       -23034861 +-   9.4   6     -23034826 +-   8.0   6
108       -23835649 +-   8.3   6     -23835631 +-   6.3   6
109       -24636434 +-   7.5   6     -24636439 +-   5.0   6
110       -25437232 +-  10.3   6     -25437263 +-  11.4   6
111       -26238046 +-   7.9   6     -26238088 +-   4.9   6
112       -27038844 +-  11.7   3     -27038896 +-   7.5   3
113       -27839629 +-   7.2   6     -27839689 +-   6.2   6
114       -28640435 +-  10.7   3     -28640480 +-   6.7   3
115               0 +- -9999.0   0             0 +- -9999.0   0
116               0 +- -9999.0   0             0 +- -9999.0   0
117               0 +- -9999.0   0             0 +- -9999.0   0
118       -31782640 +-   9.8   3     -31782635 +-   6.3   3
